0.17	99.89	315.74	0.00	0.00
0.17	100.00	315.47	0.00	0.00
0.23	99.89	315.47	0.00	68.81
0.19	99.79	316.20	0.89	197.50
0.33	99.68	317.28	20.96	311.19
0.66	99.28	315.83	51.63	397.43
1.05	97.78	317.27	53.66	460.75
0.91	97.70	318.36	58.60	506.40
1.27	96.97	318.29	90.13	538.18
2.38	92.83	319.66	175.13	558.61
2.56	93.10	315.48	157.51	569.18
2.49	92.30	319.81	122.97	570.65
3.37	88.94	315.50	322.80	563.11
4.03	82.23	314.36	263.99	546.04
3.03	87.83	317.99	134.65	518.21
2.37	90.84	318.90	91.41	477.48
2.20	89.29	311.62	111.67	420.50
2.46	92.27	315.32	85.63	342.47
1.92	91.42	317.26	39.46	238.00
1.47	95.74	316.94	14.45	109.99
0.99	97.16	317.57	1.26	12.15
1.41	93.56	316.44	0.00	0.00
1.13	95.60	316.31	0.00	0.00
0.83	97.02	316.14	0.00	0.00
0.28	98.46	314.79	0.00	0.00
0.06	99.46	314.54	0.00	0.00
0.09	99.68	315.15	0.00	0.00
0.47	96.48	315.69	0.00	0.00
0.21	97.21	314.52	0.00	0.00
-0.03	99.51	313.54	0.00	0.00
-0.15	99.61	313.19	0.00	0.00
-0.14	99.67	313.63	0.00	0.00
-0.16	99.89	313.66	0.00	0.00
-0.18	99.84	315.60	0.00	0.00
-0.10	99.67	314.60	0.00	0.00
-0.07	99.73	313.38	0.00	0.00
-0.29	99.83	313.51	0.00	0.00
-0.27	100.00	314.64	0.00	0.00
-0.18	99.89	314.23	0.00	0.00
-0.28	99.94	314.96	0.00	0.00
-0.25	99.83	314.99	0.00	0.00
-0.17	99.95	314.30	0.00	0.00
-0.10	99.89	314.71	0.00	0.00
-0.07	99.84	314.90	0.00	0.00
-0.28	99.89	314.24	0.00	0.00
-0.27	99.78	314.37	0.00	0.00
-0.43	99.94	313.50	0.00	0.00
-0.43	99.94	310.65	0.00	0.00
-0.44	99.83	307.64	0.00	0.00
-0.60	99.89	308.10	0.00	0.00
-0.40	99.66	306.71	0.00	75.01
-0.01	98.60	306.71	0.00	204.80
0.22	96.94	305.32	64.39	317.62
0.67	95.07	306.67	100.59	402.93
2.16	89.65	293.01	165.90	465.53
2.07	87.86	291.12	203.06	510.67
